日期,收盘价,涨跌幅
2021-01-28,1.0,0.0
2021-01-29,0.999,-0.1
2021-02-05,0.9945,0.0
2021-02-10,1.026,0.0
2021-02-19,1.0099,0.0
2021-02-24,0.9427,0.0
2021-02-25,0.9388,-0.41
2021-02-26,0.933,-0.62
2021-03-01,0.9554,2.4
2021-03-02,0.9473,-0.85
2021-03-03,0.9421,-0.55
2021-03-04,0.8865,-5.9
2021-03-05,0.8891,0.29
2021-03-08,0.8433,-5.15
2021-03-09,0.8165,-3.18
2021-03-10,0.8227,0.76
2021-03-11,0.852,3.56
2021-03-12,0.8667,1.73
2021-03-15,0.835,-3.66
2021-03-16,0.8403,0.63
2021-03-17,0.8434,0.37
2021-03-18,0.8567,1.58
2021-03-19,0.836,-2.42
2021-03-22,0.8539,2.14
2021-03-23,0.8411,-1.5
2021-03-24,0.8237,-2.07
2021-03-25,0.8227,-0.12
2021-03-26,0.8511,3.45
2021-03-29,0.8441,-0.82
2021-03-30,0.869,2.95
2021-03-31,0.8637,-0.61
2021-04-01,0.8715,0.9
2021-04-02,0.8694,-0.24
2021-04-06,0.8879,2.13
2021-04-07,0.873,-1.68
2021-04-08,0.8661,-0.79
2021-04-09,0.8523,-1.59
2021-04-12,0.8303,-2.58
2021-04-13,0.8256,-0.57
2021-04-14,0.8372,1.41
2021-04-15,0.8422,0.6
2021-04-16,0.8387,-0.42
2021-04-19,0.8652,3.16
2021-04-20,0.8754,1.18
2021-04-21,0.8744,-0.11
2021-04-22,0.8767,0.26
2021-04-23,0.8846,0.9
2021-04-26,0.8808,-0.43
2021-04-27,0.8793,-0.17
2021-04-28,0.8931,1.57
2021-04-29,0.8902,-0.32
2021-04-30,0.9103,2.26
2021-05-06,0.9064,-0.43
2021-05-07,0.8835,-2.53
2021-05-10,0.8923,1.0
2021-05-11,0.8848,-0.84
2021-05-12,0.89,0.59
2021-05-13,0.8737,-1.83
2021-05-14,0.8855,1.35
2021-05-17,0.9103,2.8
2021-05-18,0.9068,-0.38
2021-05-19,0.9212,1.59
2021-05-20,0.912,-1.0
2021-05-21,0.9159,0.43
2021-05-24,0.9146,-0.14
2021-05-25,0.9227,0.89
2021-05-26,0.9115,-1.21
2021-05-27,0.9212,1.06
2021-05-28,0.9307,1.03
2021-05-31,0.9652,3.71
2021-06-01,0.9602,-0.52
2021-06-02,0.9466,-1.42
2021-06-03,0.9205,-2.76
2021-06-04,0.9199,-0.07
2021-06-07,0.9171,-0.3
2021-06-08,0.9127,-0.48
2021-06-09,0.9196,0.76
2021-06-10,0.9607,4.47
2021-06-11,0.9803,2.04
2021-06-15,0.9716,-0.89
2021-06-16,0.9308,-4.2
2021-06-17,0.9496,2.02
2021-06-18,0.9702,2.17
2021-06-21,0.9993,3.0
2021-06-22,1.0017,0.24
2021-06-23,1.0152,1.35
2021-06-24,1.0469,3.12
2021-06-25,1.0525,0.53
2021-06-28,1.0654,1.23
2021-06-29,1.0931,2.6
2021-06-30,1.1062,1.2
2021-07-01,1.0739,-2.92
2021-07-02,1.0614,-1.16
2021-07-05,1.0769,1.46
2021-07-06,1.0575,-1.8
2021-07-07,1.1101,4.97
2021-07-08,1.121,0.98
2021-07-09,1.1281,0.63
2021-07-12,1.1419,1.22
2021-07-13,1.1586,1.46
2021-07-14,1.1326,-2.24
2021-07-15,1.1819,4.35
2021-07-16,1.1613,-1.74
2021-07-19,1.1593,-0.17
2021-07-20,1.1658,0.56
2021-07-21,1.2206,4.7
2021-07-22,1.2489,2.32
2021-07-23,1.2578,0.71
2021-07-26,1.2501,-0.61
2021-07-27,1.1774,-5.82
2021-07-28,1.173,-0.37
2021-07-29,1.2702,8.29
2021-07-30,1.3079,2.97
2021-08-02,1.3176,0.74
2021-08-03,1.2605,-4.33
2021-08-04,1.3441,6.63
2021-08-05,1.352,0.59
2021-08-06,1.3686,1.23
2021-08-09,1.346,-1.65
2021-08-10,1.3497,0.27
2021-08-11,1.3477,-0.15
2021-08-12,1.3399,-0.58
2021-08-13,1.322,-1.34
2021-08-16,1.3013,-1.57
2021-08-17,1.2878,-1.04
2021-08-18,1.2655,-1.73
2021-08-19,1.2909,2.01
2021-08-20,1.298,0.55
2021-08-23,1.3421,3.4
2021-08-24,1.3627,1.53
2021-08-25,1.4208,4.26
2021-08-26,1.4138,-0.49
2021-08-27,1.447,2.35
2021-08-30,1.5227,5.23
2021-08-31,1.5114,-0.74
2021-09-01,1.4303,-5.37
2021-09-02,1.4917,4.29
2021-09-03,1.4505,-2.76
2021-09-06,1.4291,-1.48
2021-09-07,1.4586,2.06
2021-09-08,1.4089,-3.41
2021-09-09,1.4091,0.01
2021-09-10,1.4349,1.83
2021-09-13,1.3882,-3.25
2021-09-14,1.3927,0.32
2021-09-15,1.4256,2.36
2021-09-16,1.3438,-5.74
2021-09-17,1.3301,-1.02
2021-09-22,1.347,1.27
2021-09-23,1.3529,0.44
2021-09-24,1.3773,1.8
2021-09-27,1.3638,-0.98
2021-09-28,1.3461,-1.3
2021-09-29,1.3399,-0.46
2021-09-30,1.3641,1.81
2021-10-08,1.3273,-2.7
2021-10-11,1.3079,-1.46
2021-10-12,1.2952,-0.97
2021-10-13,1.3482,4.09
2021-10-14,1.3756,2.03
2021-10-15,1.4042,2.08
2021-10-18,1.4309,1.9
2021-10-19,1.4292,-0.12
2021-10-20,1.458,2.02
2021-10-21,1.4288,-2.0
2021-10-22,1.4068,-1.54
2021-10-25,1.4654,4.17
2021-10-26,1.4543,-0.76
2021-10-27,1.4851,2.12
2021-10-28,1.467,-1.22
2021-10-29,1.5075,2.76
2021-11-01,1.4949,-0.84
2021-11-02,1.4603,-2.31
2021-11-03,1.4335,-1.84
2021-11-04,1.4608,1.9
2021-11-05,1.4263,-2.36
2021-11-08,1.4382,0.83
2021-11-09,1.4532,1.04
2021-11-10,1.4388,-0.99
2021-11-11,1.4402,0.1
2021-11-12,1.4647,1.7
2021-11-15,1.4133,-3.51
2021-11-16,1.392,-1.51
2021-11-17,1.4287,2.64
2021-11-18,1.4146,-0.99
2021-11-19,1.4382,1.67
2021-11-22,1.4669,2.0
2021-11-23,1.4541,-0.87
2021-11-24,1.4175,-2.52
2021-11-25,1.3963,-1.5
2021-11-26,1.4037,0.53
2021-11-29,1.4195,1.13
2021-11-30,1.4231,0.25
2021-12-01,1.407,-1.13
2021-12-02,1.3875,-1.39
2021-12-03,1.3878,0.02
2021-12-06,1.3824,-0.39
2021-12-07,1.3837,0.09
2021-12-08,1.4047,1.52
2021-12-09,1.3978,-0.49
2021-12-10,1.4314,2.4
2021-12-13,1.4404,0.63
2021-12-14,1.4295,-0.76
2021-12-15,1.4365,0.49
2021-12-16,1.4495,0.9
2021-12-17,1.4016,-3.3
2021-12-20,1.3404,-4.37
2021-12-21,1.3464,0.45
2021-12-22,1.3441,-0.17
2021-12-23,1.3654,1.58
2021-12-24,1.3164,-3.59
2021-12-27,1.303,-1.02
2021-12-28,1.3301,2.08
2021-12-29,1.3324,0.17
2021-12-30,1.3347,0.17
2021-12-31,1.3799,3.39
2022-01-04,1.3152,-4.69
2022-01-05,1.27,-3.44
2022-01-06,1.2715,0.12
2022-01-07,1.247,-1.93
2022-01-10,1.2322,-1.19
2022-01-11,1.2128,-1.57
2022-01-12,1.2508,3.13
2022-01-13,1.2311,-1.57
2022-01-14,1.2435,1.01
2022-01-17,1.2571,1.09
2022-01-18,1.2561,-0.08
2022-01-19,1.2323,-1.89
2022-01-20,1.2174,-1.21
2022-01-21,1.217,-0.03
2022-01-24,1.2533,2.98
2022-01-25,1.2198,-2.67
2022-01-26,1.2473,2.25
2022-01-27,1.1991,-3.86
2022-01-28,1.1812,-1.49
2022-02-07,1.2046,1.98
2022-02-08,1.1646,-3.32
2022-02-09,1.1682,0.31
2022-02-10,1.1379,-2.59
2022-02-11,1.1061,-2.79
2022-02-14,1.1001,-0.54
2022-02-15,1.1412,3.74
2022-02-16,1.1393,-0.17
2022-02-17,1.1696,2.66
2022-02-18,1.1595,-0.86
2022-02-21,1.1622,0.23
2022-02-22,1.18,1.53
2022-02-23,1.2187,3.28
2022-02-24,1.2254,0.55
2022-02-25,1.2466,1.73
2022-02-28,1.279,2.6
2022-03-01,1.284,0.39
2022-03-02,1.2913,0.57
2022-03-03,1.2661,-1.95
2022-03-04,1.2569,-0.73
2022-03-07,1.2324,-1.95
2022-03-08,1.2279,-0.37
2022-03-09,1.2309,0.24
2022-03-10,1.2745,3.54
2022-03-11,1.2628,-0.92
2022-03-14,1.2293,-2.65
2022-03-15,1.1989,-2.47
2022-03-16,1.2427,3.65
2022-03-17,1.233,-0.78
2022-03-18,1.2276,-0.44
2022-03-21,1.2368,0.75
2022-03-22,1.2092,-2.23
2022-03-23,1.2191,0.82
2022-03-24,1.1952,-1.96
2022-03-25,1.1585,-3.07
2022-03-28,1.1566,-0.16
2022-03-29,1.1531,-0.3
2022-03-30,1.1838,2.66
2022-03-31,1.1464,-3.16
2022-04-01,1.145,-0.12
2022-04-06,1.1087,-3.17
2022-04-07,1.0921,-1.5
2022-04-08,1.0866,-0.5
2022-04-11,1.0374,-4.53
2022-04-12,1.0487,1.09
2022-04-13,1.0325,-1.54
2022-04-14,1.0234,-0.88
2022-04-15,1.0163,-0.69
2022-04-18,1.0547,3.78
2022-04-19,1.0578,0.29
2022-04-20,1.0173,-3.83
2022-04-21,0.9665,-4.99
2022-04-22,0.9546,-1.23
2022-04-25,0.887,-7.08
2022-04-26,0.8741,-1.45
2022-04-27,0.9431,7.89
2022-04-28,0.9552,1.28
2022-04-29,0.9885,3.49
2022-05-05,0.9986,1.02
2022-05-06,0.9785,-2.01
2022-05-09,0.9944,1.62
2022-05-10,1.0183,2.4
2022-05-11,1.0506,3.17
2022-05-12,1.0412,-0.89
2022-05-13,1.0461,0.47
2022-05-16,1.0328,-1.27
2022-05-17,1.0684,3.45
2022-05-18,1.0837,1.43
2022-05-19,1.1407,5.26
2022-05-20,1.1523,1.02
2022-05-23,1.1493,-0.26
2022-05-24,1.1137,-3.1
2022-05-25,1.1252,1.03
2022-05-26,1.1224,-0.25
2022-05-27,1.1151,-0.65
2022-05-30,1.1195,0.39
2022-05-31,1.1533,3.02
2022-06-01,1.1426,-0.93
2022-06-02,1.1722,2.59
2022-06-06,1.2234,4.37
2022-06-07,1.2279,0.37
2022-06-08,1.2245,-0.28
2022-06-09,1.2194,-0.42
2022-06-10,1.25,2.51
2022-06-13,1.2588,0.7
2022-06-14,1.2387,-1.6
2022-06-15,1.2198,-1.53
2022-06-16,1.2517,2.62
2022-06-17,1.2791,2.19
2022-06-20,1.2941,1.17
2022-06-21,1.2772,-1.31
2022-06-22,1.2951,1.4
2022-06-23,1.3169,1.68
2022-06-24,1.3518,2.65
2022-06-27,1.3547,0.21
2022-06-28,1.3842,2.18
2022-06-29,1.3243,-4.33
2022-06-30,1.3711,3.53
2022-07-01,1.3541,-1.24
2022-07-04,1.3806,1.96
2022-07-05,1.3962,1.13
2022-07-06,1.384,-0.87
2022-07-07,1.4314,3.42
2022-07-08,1.3918,-2.77
2022-07-11,1.3651,-1.92
2022-07-12,1.3585,-0.48
2022-07-13,1.3832,1.82
2022-07-14,1.4301,3.39
2022-07-15,1.4189,-0.78
2022-07-18,1.4203,0.1
2022-07-19,1.3862,-2.4
2022-07-20,1.3971,0.79
2022-07-21,1.3834,-0.98
2022-07-22,1.398,1.06
2022-07-25,1.3547,-3.1
2022-07-26,1.381,1.94
2022-07-27,1.4241,3.12
2022-07-28,1.4214,-0.19
2022-07-29,1.4218,0.03
2022-08-01,1.4295,0.54
2022-08-02,1.4032,-1.84
2022-08-03,1.3562,-3.35
2022-08-04,1.3551,-0.08
2022-08-05,1.3567,0.12
2022-08-08,1.3723,1.15
2022-08-09,1.4143,3.06
2022-08-10,1.42,0.4
2022-08-11,1.4231,0.22
2022-08-12,1.3959,-1.91
2022-08-15,1.4523,4.04
2022-08-16,1.4719,1.35
2022-08-17,1.4773,0.37
2022-08-18,1.5074,2.04
2022-08-19,1.4689,-2.55
2022-08-22,1.4623,-0.45
2022-08-23,1.4814,1.31
2022-08-24,1.437,-3.0
2022-08-25,1.4072,-2.07
2022-08-26,1.3888,-1.31
