日期,收盘价,涨跌幅
2021-11-22,8.5731,0.0
2021-11-23,8.5283,-0.52
2021-11-24,8.4964,-0.37
2021-11-25,8.6099,1.34
2021-11-26,8.4238,-2.16
2021-11-29,8.511,1.04
2021-11-30,8.5363,0.3
2021-12-01,8.4001,-1.6
2021-12-02,8.3526,-0.57
2021-12-03,8.4579,1.26
2021-12-06,8.2258,-2.74
2021-12-07,8.0263,-2.43
2021-12-08,8.1747,1.85
2021-12-09,8.1459,-0.35
2021-12-10,8.1546,0.11
2021-12-13,8.2543,1.22
2021-12-14,8.2626,0.1
2021-12-15,8.1546,-1.31
2021-12-16,8.1235,-0.38
2021-12-17,7.892,-2.85
2021-12-20,7.6893,-2.57
2021-12-21,7.788,1.28
2021-12-22,7.8056,0.23
2021-12-23,7.8378,0.41
2021-12-24,7.7612,-0.98
2021-12-27,7.7439,-0.22
2021-12-28,7.7696,0.33
2021-12-29,7.6347,-1.74
2021-12-30,7.7619,1.67
2021-12-31,7.751,-0.14
2022-01-04,7.4795,-3.5
2022-01-05,7.1665,-4.18
2022-01-06,7.1359,-0.43
2022-01-07,7.0748,-0.86
2022-01-10,7.0195,-0.78
2022-01-11,6.8294,-2.71
2022-01-12,6.9856,2.29
2022-01-13,6.8707,-1.64
2022-01-14,7.0311,2.33
2022-01-17,7.1764,2.07
2022-01-18,7.2832,1.49
2022-01-19,7.1324,-2.07
2022-01-20,7.0724,-0.84
2022-01-21,6.9282,-2.04
2022-01-24,7.0309,1.48
2022-01-25,6.9222,-1.55
2022-01-26,6.9829,0.88
2022-01-27,6.7174,-3.8
2022-01-28,6.5642,-2.28
2022-02-07,6.6621,1.49
2022-02-08,6.4498,-3.19
2022-02-09,6.4952,0.7
2022-02-10,6.4638,-0.48
2022-02-11,6.3507,-1.75
2022-02-14,6.3202,-0.48
2022-02-15,6.5625,3.83
2022-02-16,6.4871,-1.15
2022-02-17,6.5813,1.45
2022-02-18,6.532,-0.75
2022-02-21,6.4511,-1.24
2022-02-22,6.5316,1.25
2022-02-23,6.9212,5.96
2022-02-24,6.8659,-0.8
2022-02-25,6.965,1.44
2022-02-28,6.9867,0.31
2022-03-01,7.0088,0.32
2022-03-02,6.8543,-2.2
2022-03-03,6.6989,-2.27
2022-03-04,6.7962,1.45
2022-03-07,6.5376,-3.81
2022-03-08,6.5996,0.95
2022-03-09,6.7115,1.7
2022-03-10,6.8163,1.56
2022-03-11,6.8103,-0.09
2022-03-14,6.5879,-3.27
2022-03-15,6.477,-1.68
2022-03-16,6.8229,5.34
2022-03-17,6.8138,-0.13
2022-03-18,6.7772,-0.54
2022-03-21,6.8466,1.02
2022-03-22,6.7269,-1.75
2022-03-23,6.6916,-0.52
